/B X,/B Y,/C X,/C Y,/A X,/A Y
4.600000000000001e-09,1,4.600000000000001e-09,0,4.600000000000001e-09,1
4.719916474530108e-09,1,4.719916474530108e-09,0,4.719916474530108e-09,1
4.845778849747867e-09,1,4.845778849747867e-09,0,4.845778849747867e-09,1
5e-09,1,5e-09,0,5e-09,1
5.1e-09,0.4999999999999998,5.1e-09,1,5.1e-09,1
5.2e-09,0,5.2e-09,1,5.2e-09,1
5.336691232814205e-09,0,5.336691232814205e-09,1,5.336691232814205e-09,1
5.418345616407103e-09,0,5.418345616407103e-09,1,5.418345616407103e-09,1
5.5e-09,0,5.5e-09,1,5.5e-09,1
5.600000000000001e-09,0,5.600000000000001e-09,0,5.600000000000001e-09,0.7999999999999983
5.719915751350595e-09,0,5.719915751350595e-09,0,5.719915751350595e-09,0.5601684972988101
5.845777948885091e-09,0,5.845777948885091e-09,0,5.845777948885091e-09,0.3084441022298163
6e-09,0,6e-09,0,6e-09,0
6.1e-09,0.5000000000000002,6.1e-09,1,6.1e-09,0
6.200000000000001e-09,1,6.200000000000001e-09,1,6.200000000000001e-09,0
6.336691348692792e-09,1,6.336691348692792e-09,1,6.336691348692792e-09,0
6.418345674346396e-09,1,6.418345674346396e-09,1,6.418345674346396e-09,0
6.5e-09,1,6.5e-09,1,6.5e-09,0
6.6e-09,1,6.6e-09,0,6.6e-09,0
6.719915721010317e-09,1,6.719915721010317e-09,0,6.719915721010317e-09,0
6.845777911090287e-09,1,6.845777911090287e-09,0,6.845777911090287e-09,0
7e-09,1,7e-09,0,7e-09,0
7.100000000000001e-09,0.4999999999999956,7.100000000000001e-09,1,7.100000000000001e-09,0
7.200000000000001e-09,0,7.200000000000001e-09,1,7.200000000000001e-09,0
7.33669135355436e-09,0,7.33669135355436e-09,1,7.33669135355436e-09,0
7.418345676777181e-09,0,7.418345676777181e-09,1,7.418345676777181e-09,0
7.500000000000001e-09,0,7.500000000000001e-09,1,7.500000000000001e-09,0
7.6e-09,0,7.6e-09,3.663735981263017e-15,7.6e-09,0
7.719915719737421e-09,0,7.719915719737421e-09,0,7.719915719737421e-09,0
7.845777909504644e-09,0,7.845777909504644e-09,0,7.845777909504644e-09,0
8e-09,0,8e-09,0,8e-09,0
8.1e-09,0.4999999999999961,8.1e-09,0.9999999999999922,8.1e-09,0.1999999999999985
8.200000000000001e-09,1,8.200000000000001e-09,1,8.200000000000001e-09,0.4000000000000002
8.336691353758322e-09,1,8.336691353758322e-09,1,8.336691353758322e-09,0.6733827075166432
8.418345676879161e-09,1,8.418345676879161e-09,1,8.418345676879161e-09,0.836691353758321
8.5e-09,1,8.5e-09,1,8.5e-09,0.999999999999999
8.599999999999999e-09,1,8.599999999999999e-09,2.020605904817785e-14,8.599999999999999e-09,1
8.719915719684018e-09,1,8.719915719684018e-09,0,8.719915719684018e-09,1
8.84577790943812e-09,1,8.84577790943812e-09,0,8.84577790943812e-09,1
9.000000000000001e-09,1,9.000000000000001e-09,0,9.000000000000001e-09,1
9.1e-09,0.4999999999999998,9.1e-09,0.9999999999999922,9.1e-09,1
9.200000000000001e-09,0,9.200000000000001e-09,1,9.200000000000001e-09,1
9.336691353766879e-09,0,9.336691353766879e-09,1,9.336691353766879e-09,1
9.41834567688344e-09,0,9.41834567688344e-09,1,9.41834567688344e-09,1
9.500000000000001e-09,0,9.500000000000001e-09,1,9.500000000000001e-09,1
9.6e-09,0,9.6e-09,1.187938636348917e-14,9.6e-09,1
9.719915719681778e-09,0,9.719915719681778e-09,0,9.719915719681778e-09,1
9.84577790943533e-09,0,9.84577790943533e-09,0,9.84577790943533e-09,1
1e-08,0,1e-08,0,1e-08,1
1.01e-08,0.5000000000000044,1.01e-08,0.9999999999999922,1.01e-08,1
1.02e-08,1,1.02e-08,1,1.02e-08,1
1.033669135376724e-08,1,1.033669135376724e-08,1,1.033669135376724e-08,1
1.041834567688362e-08,1,1.041834567688362e-08,1,1.041834567688362e-08,1
1.05e-08,1,1.05e-08,1,1.05e-08,1
1.06e-08,1,1.06e-08,1.187938636348917e-14,1.06e-08,0.799999999999999
1.071991571968168e-08,1,1.071991571968168e-08,0,1.071991571968168e-08,0.5601685606366309
1.084577790943521e-08,1,1.084577790943521e-08,0,1.084577790943521e-08,0.3084441811295714
1.1e-08,1,1.1e-08,0,1.1e-08,1.887379141862766e-15
1.11e-08,0.4999999999999915,1.11e-08,1,1.11e-08,0
1.12e-08,0,1.12e-08,1,1.12e-08,0
1.133669135376725e-08,0,1.133669135376725e-08,1,1.133669135376725e-08,0
1.141834567688363e-08,0,1.141834567688363e-08,1,1.141834567688363e-08,0
